Year,Team,Continent,Wins,Draws,Losses,Goals,Total Games,Average Goals,Win Rate
2012,Gambia,Africa,0,2,3,5,5,1.0,0.0
2012,Georgia,Europe,3,2,3,7,8,0.875,37.5
2012,Germany,Europe,8,2,4,32,14,2.2857142857142856,57.14285714285714
2012,Ghana,Africa,6,3,4,18,13,1.3846153846153846,46.15384615384615
2012,Greece,Europe,7,4,2,17,13,1.3076923076923077,53.84615384615385
2012,Grenada,North America,0,0,1,1,1,1.0,0.0
2012,Guam,Asia,2,0,5,7,7,1.0,28.57142857142857
2012,Guatemala,North America,5,2,7,19,14,1.3571428571428572,35.714285714285715
2012,Guinea,Africa,4,4,4,15,12,1.25,33.33333333333333
2012,Guinea-Bissau,Africa,0,0,2,0,2,0.0,0.0
2012,Guyana,South America,2,1,10,9,13,0.6923076923076923,15.384615384615385
2012,Haiti,North America,5,1,1,9,7,1.2857142857142858,71.42857142857143
2012,Honduras,North America,4,4,3,16,11,1.4545454545454546,36.36363636363637
2012,Hong Kong,Asia,4,1,5,12,10,1.2,40.0
2012,Hungary,Europe,4,3,2,14,9,1.5555555555555556,44.44444444444444
2012,IR Iran,Asia,6,7,3,21,16,1.3125,37.5
2012,Iceland,Europe,4,0,6,14,10,1.4,40.0
2012,India,Asia,2,2,7,8,11,0.7272727272727273,18.181818181818183
2012,Indonesia,Asia,2,4,3,6,9,0.6666666666666666,22.22222222222222
2012,Iraq,Asia,7,6,6,21,19,1.105263157894737,36.84210526315789
2012,Israel,Europe,2,2,5,15,9,1.6666666666666667,22.22222222222222
2012,Italy,Europe,6,3,5,18,14,1.2857142857142858,42.857142857142854
2012,Jamaica,North America,8,2,5,20,15,1.3333333333333333,53.333333333333336
2012,Japan,Asia,8,2,2,21,12,1.75,66.66666666666666
2012,Jordan,Asia,4,3,8,16,15,1.0666666666666667,26.666666666666668
2012,Kazakhstan,Europe,1,2,4,6,7,0.8571428571428571,14.285714285714285
2012,Kenya,Africa,5,1,8,13,14,0.9285714285714286,35.714285714285715
2012,Korea DPR,Asia,8,3,0,26,11,2.3636363636363638,72.72727272727273
2012,Korea Republic,Asia,5,1,3,19,9,2.111111111111111,55.55555555555556
2012,Kuwait,Asia,6,4,6,14,16,0.875,37.5
2012,Kyrgyz Republic,Asia,0,0,1,2,1,2.0,0.0
